1,Běchovice,1,1,1520
2,Benice,1,1,2585
3,Březiněves,1,1,14133
4,Dolní Počernice,1,1,29955
5,Dubeč,1,1,33332
6,Horní Počernice,1,1,43770
7,Cholupice,1,1,52396
8,Točná,1,1,52400
9,Klánovice,1,1,65447
10,Koloděje,1,1,68501
11,Kolovraty,1,1,68594
12,Lipany,1,1,68608
13,Královice,1,1,72621
14,Křeslice,1,1,76074
15,Lipence,1,1,83976
16,Lochkov,1,1,86428
17,Nedvězí u Říčan,1,1,102326
18,Písnice,1,1,120987
19,Josefov,1,1,127001
20,Vyšehrad,1,1,127302
21,Hodkovičky,1,1,128091
22,Kamýk,1,1,128457
23,Malá Chuchle,1,1,129186
24,Lahovice,1,1,129241
25,Miškovice,1,1,131555
26,Přední Kopanina,1,1,134376
27,Zadní Kopanina,1,1,145271
28,Satalice,1,1,146137
29,Holyně,1,1,150576
30,Slivenec,1,1,150592
31,Šeberov,1,1,162132
32,Hájek u Uhříněvsi,1,1,173398
33,Uhříněves,1,1,173428
34,Újezd nad Lesy,1,1,173771
35,Újezd u Průhonic,1,1,173991
36,Vinoř,1,1,182371
37,Sobín,1,1,193259
38,Radotín,1,1,306169
39,Staré Město,1,1,400017
40,Lhotka,1,1,400157
41,Krč,1,1,400165
42,Podolí,1,1,400190
43,Braník,1,1,400203
44,Chodov,1,1,400211
45,Háje,1,1,400220
46,Modřany,1,1,400238
47,Komořany,1,1,400246
48,Libuš,1,1,400254
49,Kunratice,1,1,400262
50,Hlubočepy,1,1,400289
51,Radlice,1,1,400297
52,Smíchov,1,1,400301
53,Košíře,1,1,400319
54,Motol,1,1,400335
55,Zbraslav,1,1,400343
56,Zličín,1,1,400351
57,Velká Chuchle,1,1,400360
58,Ruzyně,1,1,400394
59,Liboc,1,1,400408
60,Střešovice,1,1,400424
61,Veleslavín,1,1,400432
62,Vokovice,1,1,400441
63,Dejvice,1,1,400459
64,Řepy,1,1,400483
65,Suchdol,1,1,400491
66,Sedlec,1,1,400505
67,Nebušice,1,1,400513
68,Lysolaje,1,1,400521
69,Bohnice,1,1,400581
70,Čimice,1,1,400599
71,Kobylisy,1,1,400611
72,Karlín,1,1,400637
73,Dolní Chabry,1,1,400661
74,Ďáblice,1,1,400670
75,Prosek,1,1,400718
76,Černý Most,1,1,400742
77,Čakovice,1,1,400751
78,Třeboradice,1,1,400769
79,Kbely,1,1,400777
80,Kyje,1,1,400785
81,Hostavice,1,1,400793
82,Letňany,1,1,400807
83,Hostivař,1,1,400866
84,Horní Měcholupy,1,1,400904
85,Petrovice,1,1,400912
86,Štěrboholy,1,1,400921
87,Bubeneč,1,1,490024
88,Břevnov,1,1,490032
89,Dolní Měcholupy,1,1,490041
90,Hloubětín,1,1,490059
91,Holešovice,1,1,490067
92,Hradčany,1,1,490075
93,Hrdlořezy,1,1,490083
94,Jinonice,1,1,490091
95,Libeň,1,1,490105
96,Malešice,1,1,490113
97,Malá Strana,1,1,490121
98,Michle,1,1,490130
99,Nové Město,1,1,490148
100,Nusle,1,1,490156
101,Pitkovice,1,1,490164
102,Stodůlky,1,1,490172
103,Strašnice,1,1,490181
104,Střížkov,1,1,490199
105,Troja,1,1,490202
106,Třebonice,1,1,490211
107,Vinohrady,1,1,490229
108,Vršovice,1,1,490237
109,Vysočany,1,1,490245
110,Záběhlice,1,1,490253
111,Žižkov,1,1,490261
112,Řeporyje,1,1,490270
113,Bělice,2,2,1953
114,Mariánovice,2,2,2259
115,Radíkovice,2,2,2275
116,Pomněnice,2,2,2291
117,Konopiště,2,2,2305
118,Chvojen,2,2,2313
119,Bedrč,2,2,2321
120,Dlouhé Pole,2,2,2330
121,Okrouhlice,2,2,2348
122,Blažim,2,2,5533
123,Bořeňovice,2,2,8087
124,Býkovice,2,2,8095
125,Jezero,2,2,8109
126,Střížkov,2,2,8117
127,Věřice,2,2,8125
128,Bukovany,2,2,15822
129,Bystřice,2,2,16772
130,Hůrka,2,2,16799
131,Jarkovice,2,2,16802
132,Jinošice,2,2,16811
133,Jírovice,2,2,16829
134,Líšno,2,2,16837
135,Mlýny,2,2,16845
136,Mokrá Lhota,2,2,16853
137,Nesvačily,2,2,16861
138,Opřetice,2,2,16870
139,Semovice,2,2,16888
140,Tvoršovice,2,2,16896
141,Čakov,2,2,18279
142,Tatouňovice,2,2,18287
143,Vlkov,2,2,18295
144,Čelivo,2,2,19402
145,Čeňovice,2,2,19534
146,Kochánov,2,2,19542
147,Čerčany,2,2,19666
148,Vysoká Lhota,2,2,19682
149,Český Šternberk,2,2,23159
150,Čtyřkoly,2,2,24333
151,Javorník,2,2,24341
152,Lštění,2,2,24350
153,Zlenice,2,2,24368
154,Dalešice,2,2,24511
155,Dalovy,2,2,24627
156,Divišov,2,2,26263
157,Drahňovice,2,2,31623
158,Božkovice,2,2,32018
159,Drachkov,2,2,32026
160,Radošovice,2,2,32034
161,Tožice,2,2,32042
162,Zahořany,2,2,32051
163,Hořetice,2,2,45136
164,Strážovice,2,2,45144
165,Hvězdonice,2,2,50172
166,Chleby,2,2,51161
167,Buková Lhota,2,2,51268
168,Chlístov,2,2,51276
169,Racek,2,2,51284
170,Úročnice,2,2,51292
171,Vidlákova Lhota,2,2,51306
172,Žabovřesky,2,2,51314
173,Chocerady,2,2,52027
174,Komorní Hrádek,2,2,52035
175,Samechov,2,2,52051
176,Vestec,2,2,52060
177,Vlkovec,2,2,52078
178,Choratice,2,2,52701
179,Xaverov,2,2,52710
180,Chotýšany,2,2,53554
181,Křemení,2,2,53562
182,Městečko,2,2,53571
183,Pařezí,2,2,53589
184,Černíkovice,2,2,53953
185,Chrášťany,2,2,53961
186,Soběšovice,2,2,53970
187,Jablonná,2,2,56154
188,Nebřich,2,2,56162
189,Hlivín,2,2,67415
190,Vojslavice,2,2,67440
191,Kácova Lhota,2,2,71846
192,Kozmice,2,2,71854
193,Rousínov,2,2,71862
194,Krhanice,2,2,74365
195,Prosečnice,2,2,74373
196,Krchleby,2,2,74420
197,Krňany,2,2,74519
198,Teletín,2,2,74527
199,Třebsín,2,2,74535
200,Krusičany,2,2,75400
201,Křečovice,2,2,75540
202,Skrýšov,2,2,75566
203,Zhorný,2,2,75574
204,Křešice,2,2,79596
205,Lbosín,2,2,79600
206,Břežany,2,2,80373
207,Lešany,2,2,80381
208,Nová Ves,2,2,80390
209,Litichovice,2,2,85332
210,Maršovice,2,2,91979
211,Měchnov,2,2,92720
212,Šternov,2,2,92738
213,Borovka,2,2,97322
214,Lipka,2,2,97331
215,Mlékovice,2,2,97349
216,Ouštice,2,2,97357
217,Radslavice,2,2,97365
218,Mrač,2,2,100005
219,Nahoruby,2,2,101133
220,Poličany,2,2,101141
221,Živohošť,2,2,101150
222,Městečko,2,2,103764
223,Nespeky,2,2,103772
224,Chvojínek,2,2,103870
225,Neštětice,2,2,103888
226,Dunávice,2,2,104108
227,Maskovice,2,2,104116
228,Netvořice,2,2,104124
229,Tuchyně,2,2,104132
230,Všetice,2,2,104141
231,Dubovka,2,2,104272
232,Neveklov,2,2,104281
233,Tloskov,2,2,104299
234,Miroslav,2,2,105368
235,Nová Ves,2,2,105376
236,Pozov,2,2,105384
237,Bělčice,2,2,116271
238,Mžižovice,2,2,116289
239,Ostředek,2,2,116297
240,Vodslivy,2,2,116301
241,Jiřín,2,2,116998
242,Ouběnice,2,2,117005
243,Strženec,2,2,117013
244,Pecerady,2,2,118664
245,Petroupim,2,2,119709
246,Sembratec,2,2,119717
247,Chářovice,2,2,123633
248,Podělusy,2,2,123641
249,Kamenná Lhota,2,2,125784
250,Mladovice,2,2,125792
251,Popovice,2,2,125806
252,Věžníčky,2,2,125814
253,Hvozdec,2,2,126021
254,Poříčí nad Sázavou,2,2,126039
255,Dobříčkov,2,2,126217
256,Holčovice,2,2,126225
257,Jemniště,2,2,126233
258,Lhota Veselka,2,2,126241
259,Lísek,2,2,126250
260,Milovanice,2,2,126268
261,Postupice,2,2,126276
262,Roubíčkova Lhota,2,2,126284
263,Čistec,2,2,135178
264,Doubravice 1. díl,2,2,135186
265,Přestavlky u Čerčan,2,2,135194
266,Přibyšice,2,2,135810
267,Borová Lhota,2,2,137022
268,Kovářovice,2,2,137031
269,Nová Ves,2,2,137049
270,Pyšely,2,2,137057
271,Zaječice,2,2,137073
272,Blaženice,2,2,137219
273,Loutí,2,2,137227
274,Měřín,2,2,137235
275,Nedvězí,2,2,137243
276,Rabyně,2,2,137260
277,Babice,2,2,144932
278,Barochov,2,2,144941
279,Čakovice,2,2,144959
280,Křiváček,2,2,144967
281,Malešín,2,2,144975
282,Řehenice,2,2,144983
283,Vavřetice,2,2,144991
284,Bělokozly,2,2,146153
285,Černé Budy,2,2,146161
286,Čeřenice,2,2,146170
287,Dojetřice,2,2,146188
288,Sázava,2,2,146196
289,Mezihoří,2,2,151513
290,Phov,2,2,151521
291,Soběhrdy,2,2,151530
292,Žíňánky,2,2,151548
293,Žíňany,2,2,151556
294,Stranný,2,2,156205
295,Budkov,2,2,157031
296,Horní Podhájí,2,2,157040
297,Myslíč,2,2,157058
298,Skalice,2,2,157066
299,Struhařov,2,2,157074
300,Strnadice,2,2,162108
301,Humenec,2,2,166413
302,Teplýšovice,2,2,166421
303,Zálesí,2,2,166430
304,Tisem,2,2,167142
305,Třebešice,2,2,169650
306,Třemošnice,2,2,170712
307,Brodce,2,2,172375
308,Chrást nad Sázavou,2,2,172383
309,Týnec nad Sázavou,2,2,172391
310,Zbořený Kostelec,2,2,172405
311,Václavice,2,2,175951
312,Vatěkov,2,2,175960
313,Zbožnice,2,2,175978
314,Bezděkov,2,2,185337
315,Mačovice,2,2,185345
316,Vranov,2,2,185353
317,Vranovská Lhota,2,2,185361
318,Větrov,2,2,188425
319,Vysoký Újezd,2,2,188433
320,Hůrka Kapinos,2,2,189618
321,Spolí,2,2,189626
322,Vlkonice,2,2,189634
323,Zádolí,2,2,189642
324,Bezejovice,2,2,190101
325,Dlouhá Lhota,2,2,190110
326,Libeč,2,2,190128
327,Zahrádka,2,2,190136
328,Zaječí,2,2,190144
329,Zdebuzeves,2,2,192180
330,Radonice,2,2,192198
331,Mstětice,2,2,192309
332,Řehovice,2,2,192325
333,Zderadice,2,2,192333
334,Hodětice,2,2,198218
335,Hůrka,2,2,198226
336,Boušice,2,2,300781
337,Červený Dvůr,2,2,300799
338,Heroutice,2,2,330680
339,Dubsko,2,2,331830
340,Borka,2,2,332321
341,Chlum,2,2,332330
342,Baba,2,2,400939
343,Benešov,2,2,400947
344,Líštěnec,2,2,400955
345,Petrovice,2,2,400963
346,Kobylí a Plchov,2,2,400971
347,Jeleneč,2,2,400980
348,Dolní Požáry,2,2,401081
349,Brdečný,2,2,401099
350,Lhotka,2,2,401102
351,Podmaršovice,2,2,401137
352,Zálesí 1. díl,2,2,401145
353,Zálesí 2. díl,2,2,401153
354,Tikovice,2,2,401161
355,Vráce,2,2,401170
356,Záhoří,2,2,401188
357,Ledce,2,2,401218
358,Lhota,2,2,401226
359,Radějovice,2,2,401234
360,Doloplazy,2,2,401315
361,Kožlí,2,2,401323
362,Břevnice,2,2,401331
363,Zárybnice,2,2,401340
364,Vráž,2,2,401391
365,Petroupec,2,2,401404
366,Sušice,2,2,401412
367,Buchov,2,2,401421
368,Mokliny,2,2,401439
369,Vrbětín,2,2,401447
370,Dolní Podhájí,2,2,401544
371,Svatý Jan,2,2,401552
372,Bučina,2,2,401692
373,Doubravice 2. díl,2,2,401706
374,Klokočná,2,2,401714
375,Údolnice,2,2,401722
376,Benice,2,2,401781
377,Kondratice,2,2,401820
378,Pazderná Lhota,2,2,401838
379,Gabrhele,2,2,403067
380,Babčice,2,2,415642
381,Hliňánky,2,2,415651
382,Pecínov,2,2,415669
383,Naháč,2,2,415740
